Category,Brand,Item ID,Model,Description,Price,URL
French Door Refrigerators,Samsung,308743988,RF28R7201SR,"35.8 in. 28 cu. ft. Standard Depth Retro French Door Refrigerator in Stainless Steel with Child Lock, Door Alarm",2098.0,https://www.homedepot.com/p/Samsung-35-8-in-28-cu-ft-Standard-Depth-Retro-French-Door-Refrigerator-in-Stainless-Steel-with-Child-Lock-Door-Alarm-RF28R7201SR/308743988
French Door Refrigerators,Whirlpool,301859152,WRX735SDHZ,24.5 cu. ft. French Door Refrigerator in Fingerprint Resistant Stainless Steel,1998.0,https://www.homedepot.com/p/Whirlpool-24-5-cu-ft-French-Door-Refrigerator-in-Fingerprint-Resistant-Stainless-Steel-WRX735SDHZ/301859152
French Door Refrigerators,GE,317987058,GWE19JYLFS,"18.6 cu. ft. French Door Refrigerator in Fingerprint Resistant Stainless Steel, Counter Depth ENERGY STAR",1598.0,https://www.homedepot.com/p/GE-18-6-cu-ft-French-Door-Refrigerator-in-Fingerprint-Resistant-Stainless-Steel-Counter-Depth-ENERGY-STAR-GWE19JYLFS/317987058
French Door Refrigerators,GE,312648552,GFE28GYNFS,"27.7 cu. ft. French Door Refrigerator in Fingerprint Resistant Stainless Steel, ENERGY STAR",1998.0,https://www.homedepot.com/p/GE-27-7-cu-ft-French-Door-Refrigerator-in-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR-GFE28GYNFS/312648552
French Door Refrigerators,Samsung,319503107,RF29BB8600QL,35.8 in. 29 cu. ft. Standard Depth Retro French Door Refrigerator in Stainless Steel with LED Light Type,2498.0,https://www.homedepot.com/p/Samsung-35-8-in-29-cu-ft-Standard-Depth-Retro-French-Door-Refrigerator-in-Stainless-Steel-with-LED-Light-Type-RF29BB8600QL/319503107
French Door Refrigerators,Samsung,312904454,RF27T5501SR,"35.8 in. 26.5 cu. ft. Standard Depth French Door Refrigerator in Stainless Steel with Child Lock, Door Alarm",2498.0,https://www.homedepot.com/p/Samsung-35-8-in-26-5-cu-ft-Standard-Depth-French-Door-Refrigerator-in-Stainless-Steel-with-Child-Lock-Door-Alarm-RF27T5501SR/312904454
French Door Refrigerators,LG,304416120,LFDS22520S,30 in. W 22 cu. ft. French Door Refrigerator with Water Dispenser in Stainless Steel,1598.0,https://www.homedepot.com/p/LG-30-in-W-22-cu-ft-French-Door-Refrigerator-with-Water-Dispenser-in-Stainless-Steel-LFDS22520S/304416120
French Door Refrigerators,LG Electronics,310558184,LRFXS2503S,25 cu. ft. French Door Refrigerator w/ Ice and Water Dispenser and SmartDiagnosis in PrintProof Stainless Steel,1998.0,https://www.homedepot.com/p/LG-Electronics-25-cu-ft-French-Door-Refrigerator-w-Ice-and-Water-Dispenser-and-SmartDiagnosis-in-PrintProof-Stainless-Steel-LRFXS2503S/310558184
French Door Refrigerators,Whirlpool,301711642,WRF555SDFZ,25 cu. ft. French Door Refrigerator in Fingerprint-Resistant Stainless Steel,1698.0,https://www.homedepot.com/p/Whirlpool-25-cu-ft-French-Door-Refrigerator-in-Fingerprint-Resistant-Stainless-Steel-WRF555SDFZ/301711642
French Door Refrigerators,GE,319236498,GNE25JYKFS,"24.7 cu. ft. French Door Refrigerator in Fingerprint Resistant Stainless Steel, ENERGY STAR",1498.0,https://www.homedepot.com/p/GE-24-7-cu-ft-French-Door-Refrigerator-in-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR-GNE25JYKFS/319236498
French Door Refrigerators,LG,321253238,LRMWS2906S,"29 cu. ft. 4-Door French Door Refrigerator w/ External Water Dispenser, Door Cooling and Ice Maker in Stainless Steel",1698.0,https://www.homedepot.com/p/LG-29-cu-ft-4-Door-French-Door-Refrigerator-w-External-Water-Dispenser-Door-Cooling-and-Ice-Maker-in-Stainless-Steel-LRMWS2906S/321253238
